编号,标准问题,答案,所属分类
23,深化检察体制和工作机制改革的重点是什么？,深化检察体制和工作机制改革的重点是：一是优化检察权配置，完善法律监督的范围、程序和措施，加强对诉讼活动的法律监督，切实维护司法公正；二是改革和完善检察机关接受监督和制约制度，规范执法行为，保障检察权依法、公正行使；三是完善检察工作中贯彻落实宽严相济刑事政策的制度和措施，创新检察工作机制，增强惩治犯罪、保障人权、维护社会和谐稳定的能力；四是改革和完善检察机关组织体系和检察干部管理制度，进一步提高工作效能，加强检察队伍建设；五是改革和完善检察经费保障机制，为检察事业发展提供更加坚实有力的经费和物质保障。,检务公开
24,人民检察院的法律监督权主要包括哪些内容？,概括地说，人民检察院的法律监督权主要包括五个方面的内容:一是对公安机关和国家安全机关立案侦查的危害国家安全、影响社会稳定、破坏经济秩序、侵犯公民人身权利和财产权利等刑事犯罪，依法审查批捕、审查起诉和出庭支持公诉;二是对检察机关直接受理的国家工作人员利用职权实施的贪污贿赂、渎职侵权等职务犯罪案件，进行侦查，决定逮捕和提起公诉，并结合办案进行预防；三是对侦查机关的立案、侦查活动是否合法实行监督；四是对人民法院的刑事裁判以及民事、行政裁判是否正确和审判活动是否合法实行监督；五是对监狱、看守所等执行机关执行刑罚的活动是否合法实行监督。,检务公开
25,人民检察院控告申诉检察部门、举报中心的基本职责有哪些？,人民检察院控告申诉检察部门、举报中心的基本职责有:负责受理报案、举报和控告，接受犯罪嫌疑人的自首；对报案、举报和控告进行分流，对检察机关管辖的性质不明、难以归口处理的举报线索进行初查；受理不服人民检察院不批准逮捕、不起诉、撤销案件及其他处理决定的申诉；受理不服人民法院已经发生法律效力的刑事判决、裁定的申诉；办理人民检察院负有赔偿义务的刑事赔偿案件等工作。,检务公开
26,人民检察院反贪污贿赂部门的基本职责有哪些？,人民检察院反贪污贿赂部门的基本职责有：对国家工作人员利用职权实施的贪污、贿赂、挪用公款等职务犯罪案件进行立案侦查并结合办案开展职务犯罪预防工作。,检务公开
27,人民检察院反渎职侵权部门的基本职责有哪些？,人民检察院反渎职侵权部门的基本职责有：对国家机关工作人员的渎职犯罪和国家机关工作人员利用职权实施的非法拘禁、刑讯逼供、报复陷害、非法搜查、暴力取证、破坏选举等侵犯公民人身权利和民主权利的犯罪案件进行立案侦查并结合办案开展职务犯罪预防工作。,检务公开
28,人民检察院侦查监督部门的基本职责有哪些？,人民检察院侦查监督部门的~基本职责有：对侦查机关提请批准逮捕的刑事案件犯罪嫌疑人审查是否同意逮捕，对人民检察院侦查部门移送审查逮捕的职务犯罪案件犯罪嫌疑人审查决定是否逮捕，对提请延长侦查羁押期限的案件审查决定是否延长羁押期限，对侦查机关的立案和侦查活动是否合法进行监督。,检务公开
29,人民检察院公诉部门的基本职责有哪些？,人民检察院公诉部门的基本职责有：对侦查机关和人民检察院侦查部门移送审查起诉、移送审查不起诉的案件进行审查，决定是否提起公诉或不起诉;对侦查机关的侦查活动实行监督；出席法庭支持公诉并对人民法院的审判活动实行监督;对确有错误的刑事判决、裁定提出抗诉。,检务公开
30,人民检察院监所检察部门的基本职责有哪些？,人民检察院监所检察部门的基本职责有：对刑罚执行机关和刑罚执行场所的刑罚执行活动是否合法实行监督；对刑罚执行和监管活动中的职务犯罪案件进行立案侦查并开展职务犯罪预防工作；对监外执行的罪犯和劳教人员又犯罪案件审查逮捕、审查起诉，对立案、侦查和审判活动是否合法实行监督；受理被监管人及其近亲属、法定代理人的控告、举报和申诉。,检务公开
31,人民检察院民事行政检察部门的基本职责有哪些？,人民检察院民事行政检察部门的基本职责有：对民事审判活动、行政诉讼活动实行法律监督，对符合法定条件的人民法院生效民事、行政判决和裁定依法提出抗诉，对在办理民事、行政申诉案件过程中发现的审判人员、执行人员职务犯罪案件线索进行初查、立案侦查。,检务公开
32,人民检察院职务犯罪预防部门的基本职责有哪些？,人民检察院职务犯罪预防部门的基本职责有：负责研究分析典型职务犯罪的特点、规律，提出防范对策，并协助有关单位落实；开展预防咨询和警示教育；管理检察机关行贿犯罪档案查询系统并受理查询。,检务公开
33,人民检察院检察技术部门的基本职责有哪些？,人民检察院检察技术部门的基本职责有：负责人民检察院有关业务部门送检案件的检验鉴定和文证审查工作；对有关案件的现场进行勘验，收集、固定和提取与案件有矣的痕迹物证并进行科学鉴定；承办人民检察院讯问职务犯罪嫌疑人同步录音录像工作；负责人民检察院鉴定机构、鉴定人登记管理工作;负责检察机关信息化工作的规划、指导与管理等工作。,检务公开
34,人民检察院纪检、监察部门的基本职责有哪些？,人民检察院纪检、监察部门的基本职责有：负责受理群众和社会各界对检察人员利用职权进行违法违纪行为的举报和控告，并进行查处；通过执法监察、巡视、检务督察、经济责任审计等形式，加强对检察机关领导班子、领导干部和执法办案活动的监督等工作。,检务公开
35,检察权的行使需要接受哪些外部监督制约？,检察权作为一项重要的司法权，在行使过程中需要接受外部监督制约。这种监督制约主要体现在七个方面：一是坚持党的领导；二是自觉接受人民代表大会及其常委会的监督；三是接受政协的民主监督；四是接受人民群众的社会监督和新闻媒体的舆论监督；五是在刑事诉讼活动中坚持公检法三机关分工负责、互相配合、互相制约的基本原则；六是聘请特约检察员，对检察工作进行咨询和监督；七是实行人民监督员制度（试点），对查办职务犯'罪工作的“三类案件”和“五种情形”进行监督。,检务公开
36,检察权的行使在内部监督制约中有哪些具体要求？,检察权的行使除了需要接受外部监督制约外，在内部也建立完善了一系列纵向和横向的监督制约机制。在纵向上，主要是加强上级检察机关对下级检察机关的领导和监督。这种领导和监督表现在多个方面：在领导班子和队伍建设方面，如下级人民检察院领导班子配备、党风廉政建设、履行职责能力等，上级人民检察院就可以通过确定人选、年度党风廉政建设责任制考察、巡视等途径实现领导和监督职责；在检察业务工作方两，如明确规定被害人、公安机关不服不起诉决定，向上级检察机关申诉或提请复核的，上级检察机关应当及时受理申诉和进16行复核，实行职务犯罪案件立案、逮捕和撤案、不起诉报上一级人民检察院审批、备案的“双报批、双备案”制度等；在对下级人民检察院执行上级人民检察院有关要求的监督方面，实行检务督察制度。在横向上，实行检察机关内部各业务部门职能分工和相互制约，如实行侦查、批捕、起诉分设；实行检察长分管业务分离制度，如侦查、批捕、起诉工作分别由不同的检察长分管;在职务犯罪案件侦查工作中，实行讯问犯罪嫌疑人、证人同步录音录像制度等。,检务公开
37,什么是人民监督员制度？,人民监督员制度是人民监督员按照既定的程序和规则监督检察机关执法活动的程序和制度。实行人民监督员制度，是最高人民检察院根据党的十六大关于推进司法体制改革的精神，着眼于解决检察机关查办职务犯罪工作存在的突出问题，在深入调查研究、充分论证的基础上实施的一项重要体制改革措施，其根本目的在于加强对检察机关查办职务犯罪的监督，从制度上保障检察权@正确行使。,检务公开
38,担任人民监督员应当具备哪些条件？,人民监督员由机关、团体、企业、事业单位和基层组织经民主推荐、征得本人同意、考察后确认。人民监督员的任期为三年，连任不得超过两个任期。担任人民监督员应当具备下列条件：拥护中华人民共和国宪法；有选举权和被选举权；年满二十三岁；公道正派，有一定的文化水平和政策、法律知识；身体健康。,检务公开
39,哪些人员不得担任人民监督员？,根据最高人民检察院《关于实行人民监督员制度的规定(试行）》，有下列情形之一的不得担任人民监督员：受过刑事处罚或者受到刑事追究的，被开除公职或者开除留用的，因职务原因可能影响履行人民监督员职责的。,检务公开
40,人民监督员监督“三类案件”的具体内容是什么？,人民监督员对人民检察院查办职务犯罪案件中的“三类案件”实施监督，“三类案件”的具体内容是:犯罪嫌疑人不服逮捕决定的，人民检察院拟撤销案件的，人民检察院拟不起诉的。涉及国家秘密或者经特赦令免除刑罚以及犯罪嫌疑人死亡的职务犯罪案件不适用此规定。,检务公开
41,人民监督员监督“五种情形”的具体内容是什么？,人民监督员监督“五种情形”的具体内容是:应当立案而不立案或者不应当立案而立案的，超期羁押的，违法搜查、扣押、冻结的，应当给予刑事赔偿而不依法予以确认或者不执行刑事赔偿决定的，检察人员在办案中有徇私舞弊、贪赃枉法、刑讯逼供、暴力取证等违法违纪情况的。,检务公开
42,人民监督员在履行监督职责过程中应当遵守哪些规定？,人民监督员参加案件监督工作，应当保守秘密，不得泄露评议表决情况，不得对其他人民监督员施加不正当影响，不得私自会见案件当事人及其委托的人，不得实施其他违背公正监督的行为。人民监督员在履行监督职责过程中有违法违纪行为的，人民检察院应当建议相关部门对其进行处分；构成犯罪的，应当依法追究刑事责任。,检务公开
43,职务犯罪案件犯罪嫌疑人不服逮捕决定的应当如何启动人民监督员监督程序？,案件承办人在对被逮捕的职务犯罪案件犯罪嫌疑人进行第一次讯问时，应当将《逮捕羁押期限及权利义务告知书》交犯罪嫌疑人，同时告知其如不服逮捕决定可以要求重新审查。犯罪嫌疑人不服逮捕决定的，应当自告知之日起五日内向案件承办部门提出，并附申辩理由。案件承办部门收到不服逮捕决定、要求重新审查的申辩后，应立即将犯罪嫌疑人的申辩材料转交侦查监督部门。侦查监督部门另行指定承办人员审查并在三日内提出审查意见。维持原逮捕决定的，侦查监督部门应当及时将书面意见和相关材料移送人民监督员办公室，并做好接受监督的准备。人民监督员办公室收到相关材料后，应及时组织人民监督员对案件进行监督。,检务公开
44,人民检察院拟撤销和拟不起诉职务犯罪案件的应当如何启动人民监督员监督程序？,人民检察院拟撤销和拟不起诉职务犯罪案件的，侦查案件部门和公诉部门应当及时将书面意见和相关材料移送人民监督员办公室，并做好接受监督的准备。人民监督员办公室收到书面意见和相关材料后，应当及时组织人民监督员对案件进行监督。,检务公开
45,人民监督员参加案件监督工作应当通过什么方式确定？,人民监督员参加案件监督工作应当在人民监督员名单中依照排序或随机抽取的方式确定，根据案情需要，确定三名以上、总数为单数的人民监督员参加案件监督工作。参加案件监督工作的人民监督员每次临时推举其中一人主持评议、表决。人民监督员在表决时具有同等的表决权。参加案件监督工作的人民监督员确定后，案件承办部门应当及时将参加案件监督工作的人民监督员的名单告知本案当事人及其法定代理人，同时告知其有权要求人民监督员回避。,检务公开
46,参加案件监督工作的人民监督员在哪些情形下应当自行回避？,参加案件监督工作的人民监督员具有下列情形之一的，应当自行回避，当事人及其法定代理人也有权要求其回避：是本案的当事人或者当事人的近亲属的；本人或者其近亲属与本案有利害关系的；担任过本案的证人、鉴定人、辩护人、诉讼代理人的；与本案有其他关系，可能影响公正履行案件监督职责的。出现上述情形之一，本人未提出回避或者当事人及其法定代理人未要求回避的，人民检察院应当决定其回避。人民监督员的回避由检察长决定。,检务公开
47,人民监督员的监督工作应当依照哪些步骤进行？,人民监督员的监督工作应当依照下列步骤进行：由案件承办人向人民监督员全面、客观地介绍案情并出示主要证据；由案件承办人向人民监督员说明与案件相关的法律适用情况；人民监督员可以向案件承办人提出问题，必要时可以旁听案件承办人讯问犯罪嫌疑人、询问证人、听取有关人员陈述、听取本案律师的意见；人民监督员根据案件情况，独立进行评议、表决。表决采用无记名投票方式，按少数服从多数的原则形成表决意见，表决意见由承办案件部门附卷存档。,检务公开
48,人民监督员的监督意见对检察机关的决定有何影响？,检察长或者检察委员会应当分别根据职责权限，对人民监督员的表决意见和有关检察业务部门的意见进行审查，必要时可以听取人民监督员和有关检察业务部门的意见。审查后同意人民监督员表决意见的，有关检察业务部门应当执行；检察长不同意人民监督员表决意见的，应当提请检察委员会讨论;检察委员会不同意人民监督员表决意见的，应当依法做出决定，由人民监督员办公室向参加案件监督工作的人民监督员作出说明。,检务公开
49,参加案件监督工作的多数人民监督员对检察委员会的决定有异议时该怎么处理？,参加案件监督工作的多数人民监督员对检察委员会的决定有异议时，可以要求提请上一级人民检察院复核。复核工作由人民监督员办公室转交案件承办部门办理。上一级人民检察院应当及时复核并反馈结果。上一级人民检察院的决定，下级人民检察院应当执行。,检务公开
50,人民监督员监督案件期限是如何规定的？,人民监督员监督案件期限自人民监督员办公室所收案件相关材料齐备之日起至人民监督员形成表决意见之日止。一般案件，监督期限应在七日内；重大复杂案件，监督期限可以延长至十五日。人民检察院不得因人民监督员的监督而超过法定办案期限。,检务公开
51,什么是检察官？,检察官是依法彳了使国家检察权的检察人员，包括最高人民检察院、地方各级人民检察院和军事检察院等专门人民检察院的检察长、副检察长、检察委员会委员、检察员和助理检察员。,检务公开
52,担任检察官必须具备哪些条件？,根据《检察官法》规定，担任检察官必须具备下列条件：具有中华人民共和国国籍；年满二十三岁；拥护中华人民共和国宪法；有良好的政治、业务素质和良好的品行；身体健康；高等院校法律专业本科毕业或者高等院校非法律专业本科毕业具有法律专业知识，从事法律工作满两年，其中担任省人民检察院检察官、自治区人民检察院检察官、直辖市人民检察院检察官、最高人民检察院检察官，应当从事法律工作满三年；获得法律专业硕士学位、博士学位或者非法律专业硕士学位、博士学位具有法律专业知识，从事法律工作满一年，其中担任省人民检察院检察官、自治区人民检察院检察官、直辖市人民检察院检察官、最高人民检察院检察官，应当从事法律工作满两年。,检务公开
53,哪些人员不能担任检察官？,根据《检察官法》规定，有下列情形之一的人员不得担任检察官：曾因犯罪受过刑事处罚的，曾被开除公职的。,检务公开
54,检察官的任免有哪些规定？,全国人民代表大会及其常务委员会、地方各级人民代表大会及其常务委员会和各级人民检察院的检察长有任免检察官的权力。最高人民检察院检察长由全国人民代表大会选举和罢免，副检察长、检察委员会委员和检察员由最高人民检察院检察长提请全国人民代表大会常务委员会任免。地方各级人民检察院检察长由地方各级人民代表大会选举和罢免，副检察长、检察委员会委员和检察员由地方各级人民检察院检察长提请地方各级人民代表大会常务委员会任免。地方各级人民检察院检察长的任免，须报上一级人民检察院检察长提请该级人民代表大会常务委员会批准。在省、自治区内按地区设立的和在直辖市内设立的人民检察院分院检察长、副检察长、检察委员会委员和检察员由省、自治区、直辖市人民检察院检察长提请该级人民代表大会常务委员会任免。人民检察院的助理检察员由该院检察长任免。,检务公开
55,检察官的等级共分为多少级？,检察官的等级共分为十二级。最高人民检察院检察长为首席大检察官，二至十二级检察官分为大检察官、高级检察官、检察官。检察官等级的确定，以检察官所任职务、德才表现、业务水平、检察工作实绩和工作年限为依据。,检务公开
